host,accesses, distinct client count
159.226.67.237:6080, 223, 23, 
134.95.254.121, 140, 2, 
www.peanutbase.org, 3485, 231, 
hikakudb.nig.ac.jp, 3538, 50, 
192.168.80.21, 41, 7, 
www.phyzen.com, 17, 5, 
192.168.100.20, 7, 2, 
isyslab.info, 419, 10, 
myopia.csdb.cn, 63, 40, 
genedenovoweb.ticp.net:81, 554, 155, 
u031331.science.uva.nl, 283, 40, 
137.189.43.231, 741, 12, 
edge-lugar:8000, 27, 1, 
139.165.112.30, 20, 2, 
nicotiana-webapollo.sgn.cornell.edu, 651, 10, 
brecandb.igib.res.in, 75, 48, 
solgenomics.sgn.cornell.edu, 7, 2, 
localhost:8887, 233, 4, 
52.7.73.148, 24, 7, 
nicotiana.sgn.cornell.edu, 58, 7, 
dev.rgd.mcw.edu, 587, 14, 
185.45.23.197:5080, 148, 59, 
chlamy-organelles.ibpc.fr, 118, 45, 
opossumbase.org:8080, 17, 12, 
irhs-001, 323, 1, 
jbrowse.amyris.local, 1902, 3, 
biocomplx.phibred.com, 856, 7, 
owen.rgd.mcw.edu, 49, 5, 
hancock.rgd.mcw.edu, 59, 3, 
rhesus.amu.edu.pl, 59, 20, 
129.114.17.205, 155, 4, 
staging.com, 202, 1, 
192.168.20.61, 139, 1, 
www.grassius.org, 301, 111, 
tomatolab.cshl.edu, 493, 153, 
minervarna.com, 36, 2, 
maizegametophyte.org, 399, 19, 
maize.jcvi.org, 64, 30, 
10.253.21.99, 5, 1, 
galaxy.ple.roche.com:8080, 126, 1, 
hiro.cs.nmsu.edu:8083, 8, 4, 
genomes.stowers.org:8080, 130, 4, 
jbrowse.yeastgenome.org, 13, 3, 
bmi.xmu.edu.cn, 299, 65, 
13.113.77.198, 12, 2, 
ginsengdb.snu.ac.kr, 288, 60, 
dna-marker.biocenter.helsinki.fi, 283, 9, 
www.asgdb.org, 65, 31, 
biodb.sdau.edu.cn, 493, 28, 
10.10.116.28, 101, 4, 
www4g.biotec.or.th, 4, 2, 
ghost.zool.kyoto-u.ac.jp, 152, 56, 
chewbacca.bi.up.ac.za:8080, 282, 15, 
thoba.sanbi.ac.za:9090, 6, 1, 
helixdash.sema4genomics.com, 1, 1, 
collembolomics.nl, 31, 18, 
dh135, 327, 8, 
cmb.bnu.edu.cn:8088, 833, 38, 
bioinfo.vanderbilt.edu, 31, 23, 
194.199.55.39, 359, 7, 
192.168.123.64, 6, 1, 
amborella.uga.edu, 137, 49, 
172.17.246.179, 153, 1, 
bioxm.beyondbio.com, 63, 8, 
pm.sysu.edu.cn, 25, 8, 
mockaitis.ncgas.org, 756, 68, 
54.210.66.87, 571, 22, 
demo.genomearchitect.org, 771, 79, 
browse.yeastgenome.org, 81130, 16073, 
152.7.99.203, 43, 8, 
157.92.24.249, 4, 1, 
ftp.sgn.cornell.edu, 8, 6, 
ivis-dev:8010, 8616, 46, 
ivis-dev.corp.personalis.com:8010, 2, 1, 
msk.analysis.archerdx.com, 122, 5, 
ptbbsrv3.epfl.ch, 454, 93, 
bbcftools.epfl.ch, 20, 1, 
128.196.142.55, 1, 1, 
bio.driscolls.com, 122, 1, 
www.google.com.tw, 46, 3, 
192.168.1.5, 113, 3, 
www.maizegametophyte.org, 23, 9, 
133.26.84.80, 181, 1, 
plantdhs.org, 2839, 514, 
show.genebang.com, 38, 24, 
140.110.17.14, 187, 26, 
dbsecsys.bhsai.org, 453, 30, 
159.226.89.116:8080, 106, 14, 
algorithms.cnag.cat, 11, 5, 
jjwanglab.org, 29, 15, 
58.192.85.129, 7, 2, 
delta.big.ac.cn, 820, 55, 
10.18.24.49, 65, 1, 
192.168.1.203, 15, 7, 
192.168.0.34, 18, 3, 
cluniobase.cibiv.univie.ac.at, 64, 28, 
192.168.0.62, 2, 1, 
114.212.161.8:8088, 3, 1, 
ceres.snu.ac.kr:9991, 52, 21, 
10.0.0.12, 2, 2, 
www.fishbrowser.org, 1078, 20, 
10.10.83.81, 360, 18, 
78.34.13.92:6143, 94, 2, 
www.biw.kuleuven.be, 129, 53, 
grch37-cancer-legacy.sanger.ac.uk, 1462, 443, 
10.1.99.225, 19, 2, 
scicomp-pc-1-1:8088, 1, 1, 
10.83.75.46, 1, 1, 
localhost:10000, 10, 1, 
101.201.238.130, 35, 6, 
wormbase.org, 230749, 22727, 
research.gene.com, 2, 1, 
apollo-stage.nal.usda.gov, 1205, 63, 
genome.taejoonlab.org, 68, 15, 
152.7.99.244, 919, 50, 
latte.nhgri.nih.gov, 116, 6, 
10.14.90.105, 3, 1, 
de.cyverse.org, 194, 54, 
aegilops.wheat.ucdavis.edu, 1252, 312, 
data.sciapps.org, 202, 64, 
grassius.org, 313, 180, 
phylofish.sigenae.org, 98, 46, 
apollo-dev.nal.usda.gov, 186, 18, 
128.196.142.46, 4, 1, 
jorvisvm-lx.igs.umaryland.edu, 26, 5, 
152.7.99.230, 226, 12, 
archer5.fhcrc.org, 2, 2, 
152.7.99.206, 63, 14, 
bldr-tst-analysis-04, 54, 3, 
localhost:5801, 382, 3, 
128.196.64.129:8080, 1, 1, 
140.113.207.99:32770, 28, 1, 
megabat.nig.ac.jp, 16, 8, 
10.13.200.25, 2, 2, 
124.17.27.214, 6, 5, 
cloud.life.tsinghua.edu.cn, 257, 7, 
192.168.5.82, 881, 16, 
seeders.iptime.org:6280, 3, 3, 
jbrowse.sviridis.org, 7, 6, 
bioinformatics.nl, 31, 7, 
192.168.56.101, 4, 3, 
cancer-legacy.sanger.ac.uk, 211, 112, 
betula.biosci.helsinki.fi:8080, 331, 30, 
galaxy-mel.genome.edu.au, 271, 108, 
bioinformatics.forsyth.org, 505, 13, 
155.253.6.64, 55, 8, 
77.235.253.122:8888, 64, 5, 
tuba.seq, 1, 1, 
archer5.ngslab, 11, 1, 
annotation-prod.scilifelab.se:8080, 2648, 243, 
cluster-dev.florimond-desprez.fr, 81, 1, 
nike.snu.ac.kr:7776, 281, 20, 
200.144.244.219:8080, 195, 3, 
biocomp.phibred.com, 104, 4, 
152.7.99.236, 10, 3, 
genexpdb.ou.edu, 3, 3, 
169.237.215.34, 4, 4, 
bioserv02, 202, 5, 
134.117.104.149, 17, 11, 
biowebdev01.nhgri.nih.gov, 2, 2, 
biotrainee.com, 81, 45, 
cegresources.icrisat.org, 115, 33, 
bouzouki.bio.cs.cmu.edu, 190, 60, 
genomes.missouri.edu:8080, 12, 8, 
10.130.24.200:8003, 63, 3, 
10.90.75.247:8080, 300, 12, 
192.168.1.221:8004, 97, 4, 
129.15.40.234:7997, 2, 2, 
spruce.plantphys.umu.se:8105, 117, 72, 
biol-schen03d.sols.uq.edu.au:8080, 102, 26, 
14.139.32.56, 9, 8, 
bowhead-whale.org, 161, 34, 
coffee-genome.southgreen.fr, 19, 14, 
inil-genome.xcoo.jp, 46, 7, 
clovergarden.jp, 69, 28, 
192.168.20.85, 254, 3, 
192.168.1.7, 1, 1, 
133.26.84.84, 43, 1, 
s-tx-codeqat1, 8, 2, 
202.97.205.69:84, 303, 45, 
bioinf.xmu.edu.cn, 212, 22, 
tauber-data2.haifa.ac.il:3000, 27, 9, 
151.100.96.155, 3, 2, 
138.4.136.220, 45, 9, 
st131data.liv.ac.uk, 41, 26, 
203.101.225.43, 39, 3, 
repeatexplorer-elixir.cerit-sc.cz, 136, 10, 
nveicre.solgenomics.net, 19, 7, 
gds-reports-web.science-at-scale.io, 628, 7, 
peach.fafu.edu.cn, 606, 64, 
localhost:8890, 9, 1, 
10.201.158.202:88, 14, 5, 
133.48.62.144:8001, 9, 1, 
peanutbase-dev.usda.iastate.edu, 82, 2, 
ced.medisapiens.com, 12, 2, 
lbb.cnpae.embrapa.br, 333, 16, 
92.222.82.29, 2, 2, 
jbrowse-dev.yeastgenome.org, 1, 1, 
jbrowse.dev.yeastgenome.org, 335, 19, 
genomes.missouri.edu, 39, 10, 
localhost:8884, 33, 1, 
sgt.cnag.cat, 69, 31, 
54.68.127.47, 174, 3, 
172.20.20.243, 932, 3, 
127.0.0.1:5000, 23, 3, 
chambo.umd.edu, 88, 29, 
angiosperm.org, 13, 4, 
133.39.200.143, 4, 1, 
172.25.148.48, 15, 2, 
www.collembolomics.nl, 380, 103, 
www.angiosperms.org, 1, 1, 
jbrowse.jcvi.org, 283, 30, 
pieriandxproddevqa.pdx.aws, 802, 53, 
gregorylab.bio.upenn.edu, 18, 14, 
localhost:3080, 47, 1, 
asparagus.uga.edu, 245, 96, 
mothra.ornl.gov, 2, 2, 
genome.brain-map.org, 78, 39, 
www.algaegenome.org, 203, 92, 
inovadevqa.pdx.aws, 52, 10, 
ncbs-dev-05.biotech.cdc.gov, 4, 2, 
157.92.24.249:8083, 38, 7, 
coffee-webapollo.sgn.cornell.edu, 62, 5, 
www.wormbase.org., 13, 4, 
sina.lbl.gov, 34, 11, 
citrus.dna.affrc.go.jp, 70, 9, 
10.88.33.44:8443, 197, 5, 
apollo-qa.phibred.com:8080, 55, 5, 
ssb6:8080, 11, 1, 
192.168.1.249:3003, 3, 2, 
www.findfusions.com, 61, 10, 
genome.integragen.com, 88, 14, 
miamidevqa.pdx.aws, 5, 2, 
gmod.ncgas.indiana.edu, 77, 23, 
dialact.unibe.ch, 77, 15, 
analysis.previous.archerdx.com, 382, 57, 
hazelnut.blast.mocklerlab.org, 107, 41, 
160.36.205.61:8095, 383, 29, 
pddngs-dev-03.biotech.cdc.gov, 2, 1, 
hobo-nickel.getedge.org, 8, 3, 
biowebdev02.nhgri.nih.gov, 3, 1, 
brd.isisph.com, 101, 1, 
retrogenedb.amu.edu.pl, 33, 22, 
agwg.rockefeller.edu:8080, 464, 48, 
web3.genome.med.kyoto-u.ac.jp, 6, 1, 
172.16.20.239, 1, 1, 
192.168.121.98, 26, 1, 
www.schembrilab.com, 31, 13, 
101.200.190.143:8080, 451, 16, 
ramularia.org, 41, 16, 
devvirt89, 3, 1, 
192.168.96.136, 10, 1, 
beta.immunobase.org, 166, 56, 
localhost:9090, 22, 4, 
apollo-dev.nal.usda.gov:8080, 11, 5, 
localhost:8020, 18, 2, 
placeholder.wi.mit.edu, 75, 3, 
jupyter.sci.gmi.oeaw.ac.at, 194, 1, 
scicomp-pc-1.mpi-cbg.de:8088, 4, 1, 
192.168.200.21, 90, 4, 
140.113.207.99:32782, 53, 2, 
sweetpotato-dev.plantbiology.msu.edu, 9, 3, 
zaglossus.biotech.cdc.gov, 65, 2, 
10.105.164.140, 27, 2, 
glassqa.phibred.com:8081, 350, 6, 
localhost:1337, 873, 18, 
bioserver1.sign.a-star.edu.sg:9944, 19, 4, 
browser.cgi.bch.uconn.edu, 13, 7, 
genome.arizona.edu, 3, 3, 
localhost:9001, 8, 3, 
gpsdevqa.pdx.aws, 58, 7, 
zhou.dc.org, 88, 4, 
172.17.10.22, 1, 1, 
172.20.20.238, 1, 1, 
192.168.1.247, 19, 1, 
10.4.0.11:6080, 56, 2, 
bils-web.imbim.uu.se, 2, 2, 
bldr-tst-analysis-12, 8, 2, 
10.73.128.89, 54, 2, 
localhost:2001, 122, 2, 
ccbb.jnu.ac.in, 46, 12, 
172.20.20.238:8080, 12, 1, 
10.71.115.27, 8, 6, 
capsella.org, 1, 1, 
anise.dna.affrc.go.jp, 4, 3, 
52.44.239.15, 15, 12, 
putmantime.github.io, 18, 13, 
sunlab.cau.edu.cn, 168, 16, 
prlog.ru, 1, 1, 
10.0.0.15, 299, 1, 
us-643jj72.phibred.com, 59, 1, 
jbrowse111.tgac.ac.uk, 24, 14, 
forestgen.ffpri.affrc.go.jp, 142, 35, 
bioxm-sandbox.beyondbio.com, 1, 1, 
217.64.47.60, 3, 1, 
www.salmobase.org, 77, 29, 
menash.md.huji.ac.il, 5, 3, 
salmonbase.org, 310, 38, 
parasitoids.labs.vu.nl, 119, 46, 
10.103.30.202:8080, 28, 1, 
www.scnbase.org, 134, 12, 
10.207.146.10, 26, 1, 
animalecology.labs.vu.nl, 27, 18, 
ngspipelines-sigenae.toulouse.inra.fr, 9, 4, 
pfizer.bxgenomics.com, 4, 1, 
178.62.34.69, 3, 2, 
syntheticyeastresource.cailab.org, 8, 4, 
michelle.lungmap.net, 6, 2, 
breve.nhgri.nih.gov, 52, 7, 
ec2-52-37-75-229.us-west-2.compute.amazonaws.com, 1, 1, 
192.168.88.240, 3, 1, 
64.79.105.19, 50, 10, 
am-wk07.ad.immunocore.com, 2, 1, 
jbrowse.newapp1.irainyday.com, 2, 2, 
42.123.124.204:8081, 497, 48, 
172.20.20.239, 5, 2, 
172.20.20.239:8080, 23, 1, 
cloud.gmod.org, 3, 3, 
35.8.198.84, 32, 1, 
hc-vmpatharcher.healthcare.uiowa.edu, 5, 1, 
wp-p1m-80.ebi.ac.uk:8080, 48, 8, 
paoyang.ipmb.sinica.edu.tw, 1, 1, 
132.236.156.151, 32, 10, 
136.159.155.146:8080, 61, 4, 
pfizercho.bxgenomics.com, 9, 5, 
trac.wi.mit.edu, 1, 1, 
192.168.1.50, 153, 1, 
cmb.bnu.edu.cn, 14, 6, 
ceres.snu.ac.kr:9994, 474, 3, 
192.168.187.128, 52, 1, 
133.39.200.146, 2, 1, 
172.20.20.14:2226, 13, 3, 
blade05, 102, 1, 
192.168.1.20, 366, 27, 
192.168.123.68:81, 19, 6, 
192.168.1.229:8081, 261, 1, 
172.20.0.59, 176, 1, 
pophuman.uab.cat., 74, 19, 
141.244.133.122, 382, 9, 
kp141-242, 464, 13, 
ec2-54-89-6-227.compute-1.amazonaws.com, 18, 2, 
127.0.1.1:7777, 136, 2, 
210.27.97.107:7777, 814, 2, 
demo.platomics.com, 33, 6, 
199.241.162.79, 16, 5, 
augnuga.pw.usda.gov, 7, 6, 
160.36.205.61:9090, 21, 5, 
xenbase-bio2.ucalgary.ca:8080, 1, 1, 
192.168.1.166:8080, 2, 1, 
kbase.us, 163, 52, 
172.30.184.31, 171, 2, 
192.168.72.23, 14, 2, 
bioinformatics.caf.ac.cn, 53, 26, 
www.cbrc.kaust.edu.sa, 17, 3, 
localhost.localdomain, 1, 1, 
192.168.1.220:3026, 2, 2, 
sefapps02.qut.edu.au, 41, 6, 
172.20.20.237:8080, 1, 1, 
www.google.com, 1, 1, 
210.218.217.106, 420, 27, 
localhost:11000, 408, 1, 
blade01, 55, 2, 
77.235.253.122:8084, 19, 4, 
tfiid.med.harvard.edu, 79, 4, 
10.234.10.116, 5, 1, 
alejandropc:3232, 102, 1, 
galaxylab.mcmaster.ca, 11, 6, 
chogenome.am.lilly.com, 53, 5, 
jbrowse.ncgas.indiana.edu, 15, 7, 
www.seadb.org, 15, 3, 
maizegenomics-dev.plantbiology.msu.edu, 75, 3, 
rayfin.uoregon.edu, 239, 11, 
plantsmallrnagenes.science.psu.edu., 1, 1, 
10.107.225.179, 2, 1, 
133.39.200.135, 12, 5, 
192.168.0.126:8080, 5, 1, 
192.168.12.160, 124, 1, 
dog.medisapiens.com, 12, 4, 
172.20.20.13:2224, 1, 1, 
rmbreeding.net, 1, 1, 
127.0.0.1:7777, 8, 1, 
bcrf-chlorella.unl.edu, 148, 13, 
pembertonlab.med.umanitoba.ca, 74, 22, 
localhost:8092, 14, 4, 
129.24.145.197, 9, 1, 
biowebdev04.nhgri.nih.gov, 1, 1, 
research.nhgri.nih.gov, 356, 85, 
plsci3.rnet.missouri.edu:8083, 49, 10, 
218.193.51.153:8080, 121, 15, 
106.14.123.14, 1, 1, 
biomarker.cambridgene.com, 18, 6, 
inb.bsc.es, 8, 8, 
192.168.140.186, 228, 7, 
emboss.abc.hu, 196, 60, 
193.200.1.99, 15, 1, 
192.168.208.74, 28, 3, 
p00701.genebay.co.jp:8443, 215, 4, 
moffittdevqa.pdx.aws, 124, 18, 
demo.dev203.linkdoc.com, 2, 1, 
127.1.1.1, 5, 1, 
naboo, 28, 1, 
nblrrome.tuebingen.mpg.de:8080, 11, 1, 
localhost:3000, 2354, 41, 
192.168.20.65, 35, 1, 
mgap.ohsu.edu, 714, 72, 
192.168.248.246:8080, 185, 2, 
192.168.1.114:8071, 2, 1, 
sohi.ecology.kyoto-u.ac.jp, 1010, 38, 
demo.mac.linkdoc.com, 3, 1, 
www.ipomoea-genome.org, 32, 16, 
assest.maze.co.jp, 6, 1, 
csgenome.sggw.pl, 24, 7, 
141.244.134.147:11000, 210, 5, 
www.cucurbitgenomics.org, 114, 23, 
dev.my.linkdoc.com:9991, 5, 1, 
pc-biotech62.biologie.uni-greifswald.de, 80, 4, 
ec2-52-4-236-89.compute-1.amazonaws.com, 17, 11, 
10.200.131.25, 40, 2, 
gene.dev203.linkdoc.com, 139, 2, 
10.34.34.252, 3, 1, 
localhost:3232, 15, 1, 
130.60.201.174:3232, 56, 18, 
198.46.242.36, 12, 3, 
143.106.42.42, 15, 5, 
genomesdev.stowers.org, 63, 2, 
134.192.156.201:8080, 409, 20, 
10.146.211.123, 6, 4, 
eschscholzia.kazusa.or.jp, 16, 8, 
gigaton.sigenae.org, 9, 8, 
plant1.kazusa.or.jp, 487, 32, 
147.99.108.97, 247, 16, 
localhost:10001, 3, 1, 
101.132.32.59, 32, 8, 
101.200.190.143:8088, 21, 1, 
119.15.169.70, 54, 9, 
blade02, 41, 2, 
jbrowse.cebitec.uni-bielefeld.de, 307, 39, 
darter2.westga.edu, 436, 37, 
101.132.38.67, 10, 2, 
localhost:8282, 1, 1, 
fireflygenomebrowser.wi.mit.edu, 262, 15, 
localhost.thermofisher.com:8080, 31, 1, 
labbioinfo.ufpel.edu.br, 13, 11, 
129.24.145.104, 2, 1, 
www.hymenopteragenome.org, 21, 14, 
cgbase.arkgene.com, 671, 35, 
10.88.206.59, 66, 4, 
informatics.medimmune.com, 14, 4, 
211.69.140.138, 6, 1, 
test.sb-roscoff.fr, 1, 1, 
test.linkdoc.com:9880, 38, 1, 
nazgul, 9, 1, 
genoweb.toulouse.inra.fr, 411, 22, 
bnlvarcaqa.labcorp.com, 164, 10, 
panflam.korea.ac.kr, 6, 4, 
157.92.24.131:8080, 7, 2, 
ashgenome.org, 7, 6, 
10.23.6.98, 85, 4, 
34.228.78.224:8080, 3, 1, 
192.168.235.128, 1, 1, 
147.8.195.43, 1, 1, 
122.112.248.194, 2074, 85, 
192.168.5.204:8080, 51, 2, 
birchgenome.org, 18, 12, 
colossus.biotec.or.th, 1745, 60, 
210.27.97.108, 583, 8, 
joernspc.charite.de, 11, 4, 
bioxm-hotfix.beyondbio.com, 39, 6, 
beta.popgenie.org, 63, 7, 
nlfij-s3003.rz.rijkzwaan.net, 36, 2, 
35.10.204.201, 53, 9, 
rootsindrought.missouri.edu:8083, 1, 1, 
localhost:5802, 206, 3, 
icugidev.feilab.net, 26, 2, 
apollo.nal.usda.gov, 1549, 127, 
52.87.217.104:8080, 19, 1, 
bmap-dev.jgi.doe.gov, 301, 36, 
bioweb.eva.mpg.de, 59, 2, 
srv-rz-vm-1.ethz.ch, 1, 1, 
jbrowse.genedock.com, 22, 4, 
cr28603.uzbrussel.be:83, 532, 1, 
10.47.117.93, 12, 2, 
134.176.27.174, 11, 4, 
gene.linkdoc.com, 144, 7, 
sinin.kps.ku.ac.th, 300, 22, 
eco-blast1:8080, 25, 1, 
bio-dev-jbrowse-01.dev.rd.rijkzwaan.net, 24, 4, 
10.42.0.7:9091, 37, 2, 
ing-lxs60.ingelheim.bioscientia.de:8099, 191, 3, 
test.lungmap.net, 57, 8, 
129.93.135.187, 8, 2, 
172.27.32.100, 29, 1, 
gigel.cshl.edu:8080, 76, 14, 
localhost:8008, 8, 3, 
hegemon.ucsd.edu, 23, 11, 
dev.lungmap.net, 148, 8, 
demo.lungmap.net, 2, 1, 
128.32.218.181:7070, 20918, 22, 
192.168.1.109, 4, 1, 
52.29.11.240, 1, 1, 
35.158.234.107, 1, 1, 
192.168.211.77, 175, 6, 
192.168.1.104, 1, 1, 
10.130.10.124, 3, 1, 
localhost:8082, 1696, 29, 
localhost:8083, 17, 2, 
apollo.vectorbase.org, 8752, 792, 
knowpulse2.usask.ca, 39, 33, 
drone-a.getedge.org, 2, 1, 
150.254.121.200, 56, 22, 
34.229.177.52:8080, 3, 1, 
megraw.cgrb.oregonstate.edu, 1, 1, 
192.168.1.100:8080, 440, 8, 
192.168.50.15:1338, 7, 3, 
143.248.131.177, 62, 2, 
14.139.59.222:8080, 1496, 6, 
139.196.7.224:8080, 8, 3, 
sangenixcommunity.persistent.co.in:8443, 35, 7, 
192.168.139.128, 35, 1, 
218.189.16.133, 124, 41, 
192.168.1.102, 118, 11, 
10.51.232.93:8443, 16, 3, 
ssb6.wurnet.nl:8080, 15, 2, 
59.79.232.11, 1068, 92, 
216.47.151.96:8085, 2918, 9, 
34.228.69.91:8080, 22, 2, 
compbio, 217, 2, 
ceres.snu.ac.kr:9992, 76, 9, 
130.37.53.19, 1, 1, 
10.1.0.2:8085, 2, 2, 
158.108.145.124, 13, 2, 
10.0.2.36:8080, 4, 1, 
10.0.2.38:8080, 14, 1, 
10.0.2.34:8080, 12, 1, 
newglarus.biomax.com, 32, 5, 
vbsg-ngyll2.vbsg.slu.se, 10, 3, 
solgenomics.com, 21, 6, 
159.226.67.237, 777, 175, 
mimi.wi.mit.edu, 3, 1, 
mbmordr646278.agr.gc.ca, 3, 1, 
152.7.99.204, 37, 10, 
192.168.1.88, 7, 1, 
besc-portal.ornl.gov, 21, 7, 
192.168.5.203, 9, 2, 
gbdev.nig.ac.jp, 744, 9, 
192.168.199.166, 7, 1, 
penguin.genomics.cn, 699, 182, 
localhost:7000, 8, 2, 
127.0.0.1:8000, 3471, 25, 
blade04.local, 7, 1, 
wp-p2m-80.ebi.ac.uk:8080, 77, 5, 
wp-np2-80.ebi.ac.uk:8080, 66, 5, 
lamc5.umbr.cas.cz, 41, 1, 
www.hpc-bioinformatics.cineca.it, 3, 1, 
10.100.22.6, 977, 12, 
hpc-bioinformatics.cineca.it, 206, 61, 
jbrower.vardetect.com, 127, 13, 
jbrowse.vardetect.com, 15, 3, 
www.syntheticyeastresource.com, 43, 15, 
chula.vardetect.com, 4, 2, 
vardetect.com, 8, 1, 
202.120.224.83:8081, 4, 4, 
sas-us-leb-seq, 368, 4, 
10.75.119.196, 165, 11, 
archerdx-test.bioinf.unc.edu, 1, 1, 
59.79.232.97, 73, 10, 
www.biosino.org, 40, 11, 
10.0.2.35:8080, 6, 1, 
ange-data-02.calcul.i2bc.paris-saclay.fr, 378, 2, 
14.139.252.118, 8, 4, 
popfly.uab.cat., 3, 3, 
bce.bioetanol.cnpem.br:8080, 6, 1, 
pnigrum.umanitoba.ca, 44, 3, 
10.245.128.39, 240, 3, 
10.189.17.89:8000, 4, 2, 
localhost:2226, 6, 3, 
www.jbrowse.renlab.org, 2, 2, 
10.0.2.33:8080, 5, 1, 
152.7.99.207, 72, 10, 
eco-thomas1:8080, 1, 1, 
bioinfo.deinfo.uepg.br, 40, 16, 
localhost:7070, 52, 1, 
localhost:1234, 1, 1, 
192.168.46.128, 104, 1, 
101.200.190.143, 7, 1, 
pennycress.umn.edu., 4, 3, 
localhost:5000, 98, 2, 
mmodev, 30, 2, 
158.108.144.7, 4, 3, 
192.168.1.125:8029, 11, 3, 
192.168.158.129, 1, 1, 
10.0.2.44:8081, 2, 1, 
horsegram.kazusa.or.jp, 3, 3, 
192.168.75.203:8080, 4, 1, 
133.28.110.70, 19, 2, 
docker-jbrowse-adebali.cloudapps.unc.edu, 266, 21, 
10.142.193.76, 1, 1, 
192.168.56.130, 32, 1, 
bioinfo.jit.edu.cn, 44, 20, 
134.192.156.202:8080, 391, 12, 
vcru.wisc.edu, 63, 10, 
dgr.dasmaninstitute.org, 26, 16, 
gbrowse2017a.biology.gatech.edu, 14, 9, 
10.11.64.36:8443, 2, 1, 
199.133.225.11, 1, 1, 
ws522988.dyn.uhbs.ch:9080, 20, 1, 
10.9.5.14:8080, 302, 10, 
localhost:8129, 1, 1, 
zdglab.iimcb.gov.pl, 2, 2, 
127.0.0.1:8129, 1, 1, 
localhost:8084, 398, 4, 
depo.msu.ru, 8, 3, 
localhost:8130, 2, 1, 
dh135.hitchcock.org, 1, 1, 
192.168.176.128, 5, 1, 
opathy.uv.es, 342, 5, 
browser.ryantaylor.net, 1, 1, 
10.16.16.170, 4, 1, 
ngspipelines.toulouse.inra.fr:9018, 2, 2, 
10.189.17.149:8000, 30, 12, 
192.168.10.47:8080, 21, 1, 
10.88.25.48, 27, 2, 
192.168.103.9, 115, 1, 
11.11.11.11, 44, 2, 
sasdb.medgenome.com:9443, 127, 3, 
mmb.irbbarcelona.org, 125, 19, 
sasdb.medgenome.com, 4, 4, 
170.212.137.168, 1116, 10, 
ibeetle-base.uni-goettingen.de, 162, 36, 
134.121.247.55, 29, 17, 
hiro.cs.nmsu.edu:8082, 3, 2, 
analysis.caris.archerdx.com, 5, 1, 
104.198.231.164:5000, 2, 1, 
localhost:10096, 14, 2, 
104.197.81.146:5000, 1, 1, 
jbrowse.crop-diversity.org, 32, 14, 
103.25.231.42, 13, 4, 
epigenomics.sdsc.edu:8080, 31, 4, 
202.195.250.106, 106, 25, 
10.9.5.107, 1, 1, 
snplotyper.mcw.edu, 23, 13, 
grna.ctegd.uga.edu, 99, 13, 
cnkbap1.snu.ac.kr:7779, 51, 4, 
plut.reefgenomics.org, 28, 17, 
10.46.33.103:8443, 16, 3, 
192.248.21.78:8084, 1115, 36, 
141.244.130.71, 7, 2, 
fuchshai.geomar.de, 105, 3, 
www.cazymodo.org, 1, 1, 
scps.scu.edu.au, 5, 3, 
127.0.1.1, 200, 4, 
134.192.156.48, 1, 1, 
192.168.92.128, 6, 1, 
bldr-tst-analysis-13, 76, 5, 
neuroseq.janelia.org:8080, 7, 1, 
172.16.0.173:8080, 98, 20, 
152.7.99.208, 58, 10, 
genome.cbrc.jp, 6, 1, 
www.fafu.tk, 3, 2, 
133.9.8.131, 12, 1, 
ww.solgenomics.net, 16, 3, 
172.16.20.79, 15, 1, 
bio.jsm.co.jp, 18, 1, 
124.207.226.177:8081, 4, 1, 
192.168.99.100:32768, 1, 1, 
iris.ensembl.org, 132, 12, 
10.0.2.15, 364, 9, 
172.28.1.172:1339, 8, 2, 
analysis.tch.harvard.edu, 185, 4, 
lonzadev.bxgenomics.com, 18, 3, 
112.74.62.182:8082, 16, 1, 
jbrowse.genereg.net, 4, 3, 
elrh6gene01.dow.com, 157, 9, 
152.7.99.205, 90, 9, 
192.168.0.7, 34, 2, 
uw.analysis.archerdx.com, 329, 9, 
ec2-54-161-148-67.compute-1.amazonaws.com, 7, 1, 
hpcdownloads.am.lilly.com, 38, 4, 
10.59.21.23, 3, 1, 
ihpe-249.univ-perp.fr, 125, 7, 
10.83.75.35, 7, 1, 
testihpe, 35, 1, 
beagle.windows.ebi.ac.uk:8889, 166, 4, 
127.0.0.1:666, 5, 1, 
localhost:666, 1, 1, 
10.189.197.98:8000, 12, 2, 
vm0022, 3, 1, 
localhost:8500, 82, 5, 
s9.sars.no, 6, 4, 
129.215.181.19, 2, 2, 
pseudomonas.ca, 5, 3, 
www.ricebase.org, 51, 37, 
10.93.132.63, 130, 3, 
lindberg.muii.missouri.edu, 29, 5, 
35.202.225.117:5000, 2, 1, 
igenomed4.stanford.edu, 210, 17, 
10.96.8.162, 60, 1, 
localhost:28080, 2, 1, 
172.31.23.253, 44, 3, 
10.71.115.210, 230, 21, 
ecls0592.eisai.local:28000, 17, 3, 
10.83.75.101, 35, 4, 
www.cassavabase.org, 16, 11, 
dgzblmr.solgenomics.net, 2, 1, 
apollo.wormbase.org, 21229, 1043, 
www.ab.wur.nl, 1, 1, 
172.16.180.128, 12, 1, 
usfit-scdocker1:8085, 3, 1, 
jbrowse.global.internal, 3, 2, 
titan, 45, 3, 
glassdev.phibred.com:8081, 56, 2, 
gbrowse.bcid.ca, 2, 2, 
