host,host count, client count, distinct client count
brie.cshl.edu:8080, 75, 75, 14, 
bio-dev-jbrowse.rz.rijkzwaan.net, 227, 227, 6, 
134.192.156.42, 211, 211, 10, 
test.ibinom.com, 9, 9, 5, 
benthamiana.sgn.cornell.edu, 48, 48, 4, 
staph.unavarra.es:10080, 96, 96, 11, 
0:3000, 3, 3, 1, 
methusalix.biomax.de:8840, 172, 172, 5, 
192.168.187.128, 24, 24, 1, 
bioinfolab.miamioh.edu, 1302, 1302, 77, 
dev.banana-genome-http.cirad.fr, 33, 33, 4, 
cafeteriome.mpimf-heidelberg.mpg.de, 9, 9, 5, 
10.0.0.253, 549, 549, 6, 
docker:8080, 158, 158, 4, 
lotus.au.dk, 4389, 4389, 426, 
147.49.40.133, 10, 10, 5, 
bioinfo.bti.cornell.edu, 91, 91, 12, 
genome1, 20, 20, 1, 
genomics.si.edu.s3-website-us-east-1.amazonaws.com, 6, 6, 2, 
edgeset.lanl.gov, 34, 34, 2, 
coge.iplantcollaborative.org, 16, 16, 4, 
genome2, 16, 16, 1, 
apollo-stage.nal.usda.gov:8080, 1, 1, 1, 
hts-etl-01, 165, 165, 1, 
img-proportal-dev.jgi-psf.org, 23, 23, 6, 
knowpulse2.usask.ca, 72, 72, 49, 
10.34.229.30, 423, 423, 7, 
www.asgdb.org, 86, 86, 21, 
10.0.0.15, 129, 129, 3, 
192.168.99.100:8081, 4, 4, 1, 
svane:3000, 21, 21, 1, 
www.picme.at, 2, 2, 1, 
10.0.0.210, 51, 51, 3, 
fuchshai.geomar.de, 12, 12, 1, 
210.46.85.174:8011, 529, 529, 15, 
10.100.0.67, 29, 29, 1, 
seadb.org, 139, 139, 41, 
akh-staging.platomics.com, 40, 40, 2, 
127.0.0.1:8080, 279, 279, 21, 
vbsg-ngyll2.vbsg.slu.se, 101, 101, 7, 
webapollo.vectorbase.org, 21, 21, 11, 
hpclife.th-wildau.de, 127, 127, 8, 
ec2-52-53-234-20.us-west-1.compute.amazonaws.com:8080, 41, 41, 1, 
edge-lugar:8000, 13, 13, 1, 
webapollo-pre.vectorbase.org, 352, 352, 8, 
web.malab.cn, 94, 94, 37, 
ramularia.org, 80, 80, 31, 
cloud-48.genouest.org, 45, 45, 4, 
bcrf-chlorella.unl.edu, 405, 405, 24, 
10.118.36.237, 101, 101, 1, 
10.153.182.182, 17, 17, 4, 
10.11.210.67:8085, 51, 51, 1, 
genexpdb.okstate.edu, 493, 493, 16, 
52.7.10.141, 19, 19, 7, 
gmod-dev.nal.usda.gov:8080, 14, 14, 1, 
www.birchgenome.org, 45, 45, 4, 
52.7.10.141:8080, 2, 2, 1, 
localhost:8002, 159, 159, 3, 
dpuk.digitalhealthlabs.com, 113, 113, 7, 
bioinformatics.unl.edu, 7, 7, 3, 
ngc.mcw.edu, 25, 25, 15, 
tbioinfopb1.pine-biotech.com:3000, 10, 10, 4, 
jbrowse.oropetium.org, 52, 52, 40, 
jbrowse.insilicogen.com, 712, 712, 44, 
10.37.0.239, 2, 2, 2, 
127.0.0.1:8787, 1, 1, 1, 
cbr1.inbiosis.org, 19, 19, 3, 
ec2-52-35-143-61.us-west-2.compute.amazonaws.com, 8, 8, 2, 
10.73.1.254:8081, 1, 1, 1, 
jbrowse.yeastgenome.org, 82, 82, 14, 
10.88.25.48, 6, 6, 1, 
amborella.uga.edu, 134, 134, 80, 
verdant.iplantcollaborative.org, 732, 732, 93, 
10.0.0.104, 6, 6, 1, 
medswine.net, 9, 9, 4, 
s01plx02.technet.akhwien.at, 25, 25, 1, 
cassavagenome.org, 7, 7, 1, 
jbrowse111.tgac.ac.uk, 76, 76, 35, 
zombie.bioxray.au.dk, 2, 2, 1, 
uk2as251, 2, 2, 1, 
pennycress.umn.edu, 103, 103, 70, 
ashgenome.org, 11, 11, 7, 
genome-ihpe.univ-perp.fr, 66, 66, 2, 
cluster.florimond-desprez.fr, 317, 317, 4, 
glassdev.phibred.com:8081, 933, 933, 9, 
darter2.westga.edu, 957, 957, 65, 
165.123.12.25, 2, 2, 1, 
192.168.101.82, 2, 2, 2, 
172.21.7.71, 7, 7, 5, 
10.34.229.114, 18, 18, 2, 
genomes.chemie.uni-greifswald.de:8080, 32, 32, 19, 
archer.fhcrc.org, 68, 68, 7, 
133.48.62.140, 569, 569, 63, 
10.10.10.133, 4, 4, 1, 
54.201.104.101, 29, 29, 3, 
192.168.1.137, 43, 43, 2, 
pipelines.rgd.mcw.edu, 7168, 7168, 19, 
ec2-54-172-201-228.compute-1.amazonaws.com, 3, 3, 1, 
hts-etl-01.amyris.local, 9, 9, 1, 
research.gene.com, 6, 6, 2, 
192.168.5.61, 132, 132, 2, 
153.150.121.50, 152, 152, 6, 
ec2-54-86-193-203.compute-1.amazonaws.com, 1, 1, 1, 
192.168.87.125, 108, 108, 3, 
160.36.207.15:8888, 18, 18, 6, 
jjwanglab.org, 127, 127, 31, 
bioinfo.jit.edu.cn, 55, 55, 17, 
10.90.137.24, 3, 3, 1, 
ht03.pf.chiba-u.jp, 65, 65, 2, 
10.88.33.78, 10, 10, 2, 
10.88.36.49, 2, 2, 1, 
stage.jbrowse.southgreen.fr, 67, 67, 14, 
moffittopsqa.pdx.aws, 48, 48, 5, 
192.168.222.16, 5, 5, 1, 
202.116.161.95, 7, 7, 3, 
111.85.176.116:16928, 1, 1, 1, 
localhost:63342, 1142, 1142, 13, 
besc-portal.ornl.gov, 349, 349, 49, 
pentose.biomax.de:8084, 23, 23, 2, 
gigaton.sigenae.org, 17, 17, 13, 
192.168.56.135, 2, 2, 1, 
172.31.7.93, 148, 148, 1, 
vm64-217.iplantcollaborative.org, 1, 1, 1, 
ziggy.dbi.udel.edu, 785, 785, 77, 
86.119.30.126, 31, 31, 1, 
192.168.100.151:8072, 48, 48, 2, 
geco.iplantc.org, 12, 12, 4, 
172.31.35.130, 13, 13, 1, 
browser.porteco.org, 137, 137, 56, 
worker4.cornut.org, 34, 34, 4, 
brie.cshl.edu, 14, 14, 3, 
q2opsqa.pdx.aws, 42, 42, 4, 
jbrowse-lb.yeastgenome.org, 3, 3, 1, 
jcvi06.tacc.utexas.edu, 14, 14, 1, 
biocc.hrbmu.edu.cn:82, 902, 902, 261, 
10.130.24.200:8003, 34, 34, 3, 
52.90.2.21:8080, 67, 67, 1, 
localhost:8072, 7, 7, 3, 
14.139.59.221, 111, 111, 2, 
bedbug.uky.edu:8080, 2, 2, 2, 
138.4.136.220, 127, 127, 12, 
www.liub.cn, 396, 396, 5, 
ws.g-language.org, 278, 278, 16, 
gmpromdb.sanbi.ac.za, 3, 3, 2, 
52.29.104.107, 57, 57, 4, 
119.6.97.227:7076, 84, 84, 24, 
192.168.121.127, 56, 56, 1, 
61.50.130.61, 3, 3, 3, 
dev.bff.cirad.fr, 3, 3, 2, 
10.88.34.171:8443, 54, 54, 1, 
ec2-54-183-179-235.us-west-1.compute.amazonaws.com:8080, 15, 15, 1, 
genome.univ-perp.fr, 99, 99, 9, 
jbrowse.sviridis.org, 12, 12, 10, 
jbrowse.molgenrug.nl, 244, 244, 38, 
zdglab.iimcb.gov.pl, 25, 25, 8, 
147.99.108.97, 1447, 1447, 24, 
192.168.100.154, 33, 33, 2, 
birdtest.isisph.com, 8, 8, 1, 
ngspipelines-sigenae.toulouse.inra.fr:9052, 19, 19, 8, 
export.uppmax.uu.se, 98, 98, 12, 
172.17.191.8, 99, 99, 1, 
dev2.apps.thermofisher.com, 1275, 1275, 44, 
simrbase.sgc.loc:8080, 52, 52, 2, 
trident.stjude.org, 93, 93, 37, 
dash, 3900, 3900, 33, 
ir1pvm-archer1, 6, 6, 1, 
coffee-webapollo.sgn.cornell.edu, 2722, 2722, 37, 
stripedbass.animalgenome.org:8080, 1, 1, 1, 
fs3.bio.titech.ac.jp, 45, 45, 11, 
data.sciapps.org, 109, 109, 31, 
intermine.ncgr.org, 322, 322, 16, 
imethyl.iwate-megabank.org, 1430, 1430, 246, 
bias4.nibb.ac.jp:8113, 41, 41, 9, 
172.20.174.141, 11, 11, 1, 
uweb, 2742, 2742, 3, 
172.28.10.232, 9, 9, 4, 
svane:3001, 4, 4, 1, 
sf2-farm-srv2.internal.sanger.ac.uk:35500, 79, 79, 1, 
salmonella.wadsworth.org, 311, 311, 109, 
10.180.103.202, 1, 1, 1, 
lithium, 1, 1, 1, 
dev.togogenome.org, 27, 27, 4, 
123.136.65.117, 33, 33, 17, 
localhost:9092, 2, 2, 1, 
stripedbass.animalgenome.org, 190, 190, 57, 
vbioinfoval, 2, 2, 1, 
localhost:2015, 8, 8, 1, 
seqrete.tamu.edu:8080, 34, 34, 19, 
10.10.10.129, 5, 5, 1, 
210.46.85.180:8080, 34, 34, 21, 
10.104.101.112, 62, 62, 6, 
elegans.local, 4, 4, 2, 
10.1.91.241, 1, 1, 1, 
ngsnpl.private.bii:8080, 11, 11, 1, 
202.127.22.67, 361, 361, 21, 
biol-schen03d.sols.uq.edu.au:8080, 570, 570, 58, 
www.medswine.net, 21, 21, 14, 
epigenomics.fleming.gr, 61, 61, 5, 
134.245.63.238:8080, 894, 894, 42, 
130.192.168.211, 129, 129, 9, 
ec2-54-67-55-9.us-west-1.compute.amazonaws.com:8080, 4, 4, 1, 
78.34.25.102:6143, 432, 432, 5, 
marmoset-genome.xcoo.jp, 14, 14, 2, 
141.244.133.166, 30, 30, 1, 
bioweb.eva.mpg.de, 69, 69, 3, 
jbrowse.igs.umaryland.edu, 195, 195, 42, 
ec2-52-53-240-10.us-west-1.compute.amazonaws.com:8080, 4, 4, 1, 
threebeesdev.biogemma.fr, 81, 81, 3, 
134.99.200.47, 5, 5, 1, 
ukapdlnx115.ukapd.astrazeneca.net, 850, 850, 35, 
dev.niagads.org, 1052, 1052, 13, 
inb.bsc.es, 430, 430, 35, 
antgenomes.org, 86, 86, 32, 
datasets.app:8002, 65, 65, 2, 
genome.uoregon.edu:8080, 26, 26, 6, 
www.thenerdwerks.com, 34, 34, 1, 
192.168.3.23, 13, 13, 1, 
gbrowse2014.biology.gatech.edu, 32, 32, 16, 
ec2-52-29-104-107.eu-central-1.compute.amazonaws.com, 2, 2, 1, 
dictybase.org, 334, 334, 207, 
psga0415, 19, 19, 1, 
10.51.226.125:8443, 58, 58, 2, 
bias4.nibb.ac.jp:8093, 31, 31, 3, 
rbp.hgc.jp, 465, 465, 13, 
ec2-54-193-40-83.us-west-1.compute.amazonaws.com:8080, 7, 7, 1, 
212.87.29.115:8080, 4, 4, 3, 
webapollo.lepbase.org, 183, 183, 29, 
192.168.2.2, 14, 14, 2, 
hanusch-staging.platomics.com, 12, 12, 1, 
141.244.40.114, 1825, 1825, 168, 
pichiagenome-ext.boku.ac.at, 835, 835, 43, 
quiver.archerdx.com, 43, 43, 13, 
genomics00.bio.tamu.edu, 30, 30, 6, 
ibs-bosiljkat-ux1:8787, 286, 286, 1, 
ec2-52-37-151-237.us-west-2.compute.amazonaws.com, 1, 1, 1, 
ec2-52-37-212-163.us-west-2.compute.amazonaws.com, 2, 2, 1, 
192.168.5.160, 7, 7, 2, 
ijgvd.megabank.tohoku.ac.jp, 2884, 2884, 654, 
genome.taejoonlab.org, 35, 35, 12, 
bmi.xmu.edu.cn:8000, 612, 612, 23, 
172.16.202.2, 241, 241, 2, 
scps-web1, 58, 58, 5, 
scps-web1.scu.edu.au, 1, 1, 1, 
77.235.253.122:8084, 176, 176, 20, 
ec2-54-67-46-191.us-west-1.compute.amazonaws.com:8080, 3, 3, 1, 
galaxy-epi:8085, 8, 8, 1, 
10.33.106.121, 225, 225, 1, 
ec2-54-183-183-206.us-west-1.compute.amazonaws.com:8080, 2, 2, 1, 
141.40.254.27:8080, 148, 148, 15, 
bert:8000, 1, 1, 1, 
jbrowse-beta.labs.intermine.org, 24, 24, 3, 
ec2-54-193-118-80.us-west-1.compute.amazonaws.com:8080, 3, 3, 1, 
10.116.52.10, 3, 3, 3, 
ec2-54-183-184-255.us-west-1.compute.amazonaws.com:8080, 2, 2, 1, 
dev.cocoagendb.cirad.fr, 1, 1, 1, 
pieriandxopsqa.pdx.aws, 103, 103, 8, 
webapollo-pre.vectorbase.org:8080, 9, 9, 1, 
gbrowse.wormbase.org:9003, 10, 10, 2, 
dmb-cosmic.sandbox.sanger.ac.uk, 68, 68, 6, 
10.37.0.241, 40, 40, 2, 
dendrome.ucdavis.edu, 20, 20, 14, 
venturia.plantbiology.msu.edu, 63, 63, 12, 
hutton.sgn.cornell.edu, 7, 7, 3, 
192.168.50.205, 28, 28, 2, 
sgd-ng2.stanford.edu, 27, 27, 1, 
compute2.bioinfo.wsu.edu, 108, 108, 3, 
www.yeastgenome.org, 41424, 41424, 11791, 
sgd-ng1.stanford.edu, 2, 2, 1, 
scps.scu.edu.au, 11, 11, 4, 
mcg.ustc.edu.cn, 1, 1, 1, 
genome.cornut.org, 18, 18, 5, 
www.genomevolution.org, 64, 64, 48, 
dev.wormbase.org, 1, 1, 1, 
localhost:8008, 2, 2, 1, 
vm64-197.iplantcollaborative.org, 35, 35, 2, 
mibi.galaxy.bio.ku.dk, 1, 1, 1, 
birchgenome.org, 28, 28, 16, 
biocloud.cngb.org, 30, 30, 6, 
10.46.33.103:8443, 676, 676, 1, 
192.168.118.48:8080, 48, 48, 2, 
gbr-apollo.zfmk.de, 79, 79, 8, 
172.24.113.150, 4, 4, 2, 
mug.platomics.com, 14, 14, 3, 
galaxy-epi:8086, 145, 145, 3, 
bioinfo.tsinghua.edu.cn, 550, 550, 55, 
mmodev2:8085, 489, 489, 1, 
ec2-54-161-234-149.compute-1.amazonaws.com, 2, 2, 1, 
dev.cassava-genome.cirad.fr, 7, 7, 3, 
146.148.81.69:9595, 1, 1, 1, 
nicotiana.sgn.cornell.edu, 397, 397, 28, 
192.108.24.34:8086, 33, 33, 1, 
192.168.20.247, 10, 10, 1, 
localhost:5666, 1, 1, 1, 
rosaceae.org, 27, 27, 18, 
pipelines.ngc.mcw.edu, 16, 16, 3, 
apollo.nal.usda.gov:8080, 2, 2, 1, 
bldr-tst-analysis-public-d, 14, 14, 2, 
gb.csdb.cn, 116, 116, 41, 
inil-genome.xcoo.jp, 217, 217, 11, 
hsp.e-nome.xyz, 32, 32, 3, 
cpt.tamu.edu, 2876, 2876, 338, 
54.65.17.123, 4, 4, 2, 
128.16.6.196, 8, 8, 5, 
127.0.0.1:6666, 1, 1, 1, 
128.139.17.188, 1, 1, 1, 
ngspipelines-sigenae.toulouse.inra.fr:9061, 5, 5, 3, 
sonicopsqa.pdx.aws, 3, 3, 2, 
maize-dev.jcvi.org, 33, 33, 1, 
x-test.platomics.com:10005, 139, 139, 3, 
seabird.igs.umaryland.edu, 23, 23, 5, 
schnauferlab.bio.ed.ac.uk, 3, 3, 1, 
54.186.201.182, 64, 64, 6, 
ridley.uv.es:8080, 2, 2, 1, 
192.168.0.24, 113, 113, 1, 
jbrowse.jcvi.org, 142, 142, 20, 
yeastgenome.org, 1345, 1345, 766, 
neuroseq.janelia.org, 170, 170, 22, 
222.195.93.172, 156, 156, 5, 
marinegenome.kr, 39, 39, 9, 
shigen.nig.ac.jp, 470, 470, 83, 
local.paratera.com, 24, 24, 2, 
banana-genome-http.cirad.fr, 7, 7, 1, 
spider.0t0.jp, 19, 19, 6, 
141.244.40.209:10005, 2, 2, 1, 
172.18.2.21, 14, 14, 2, 
szagenann.szbk.hu, 220, 220, 20, 
bce.bioetanol.cnpem.br:8080, 50, 50, 4, 
192.168.100.250, 247, 247, 17, 
africanrice.abudhabi.nyu.edu, 83, 83, 23, 
gpsopsqa.pdx.aws, 80, 80, 8, 
x-test.platomics.com, 47, 47, 3, 
hardwoodgenomics.org, 47, 47, 12, 
gbrowse-dev:9080, 45, 45, 2, 
uc1f-bioinfocloud-biotool-dev.sial.com, 9, 9, 3, 
uc1f-bioinfocloud-biotool-dev, 5, 5, 1, 
archer.archerdx.com, 2, 2, 1, 
www.phgenome.org, 7, 7, 4, 
localhost:8765, 61, 61, 1, 
img-jbrowse-test.jgi.doe.gov, 43, 43, 14, 
proimix.proimi.org.ar, 59, 59, 22, 
10.10.92.142:8080, 16, 16, 1, 
111.93.13.167, 1, 1, 1, 
genome.brain-map.org, 221, 221, 55, 
172.28.1.200:1337, 724, 724, 3, 
pollux:8080, 1, 1, 1, 
10.46.33.102:8443, 304, 304, 2, 
137.189.43.208, 87, 87, 11, 
ngspipelines-sigenae.toulouse.inra.fr, 9, 9, 3, 
172.16.203.26, 202, 202, 2, 
hugin, 1, 1, 1, 
hackensackopsqa.pdx.aws, 42, 42, 3, 
192.168.56.171, 2, 2, 1, 
52.10.182.166, 1, 1, 1, 
arizonaopsqa.pdx.aws, 6, 6, 2, 
54.172.138.205, 17, 17, 3, 
spruce.plantphys.umu.se:8102, 51, 51, 14, 
ngspipelines.toulouse.inra.fr:9012, 4, 4, 4, 
tools.psc.riken.jp, 17, 17, 5, 
ix.bi.up.ac.za:8085, 6, 6, 1, 
phylofish.sigenae.org, 114, 114, 55, 
vm65-189.iplantcollaborative.org, 48, 48, 21, 
vm64-225.iplantcollaborative.org, 4, 4, 1, 
miamiopsqa.pdx.aws, 29, 29, 4, 
vm65-178.iplantcollaborative.org, 3, 3, 2, 
vm65-170.iplantcollaborative.org, 2, 2, 2, 
osler.hmgc.mcw.edu, 8, 8, 1, 
binkley.candidagenome.org, 426, 426, 6, 
www.sapc.embrapa.br, 1, 1, 1, 
opossumbase.org:8080, 10, 10, 9, 
modem.hzau.edu.cn, 102, 102, 64, 
52.34.253.71, 4, 4, 2, 
172.22.15.26, 351, 351, 7, 
ngspipelines.toulouse.inra.fr:9018, 3, 3, 2, 
www.jbrow.se, 4, 4, 4, 
edge-namru3, 1, 1, 1, 
www.cbrc.kaust.edu.sa, 20, 20, 10, 
burkholderia.com, 60, 60, 40, 
52.36.33.8:8443, 116, 116, 4, 
172.16.20.238, 3, 3, 2, 
10.122.114.30, 334, 334, 3, 
www.rgd.mcw.edu, 1031, 1031, 375, 
0.0.0.0:32770, 2, 2, 1, 
0.0.0.0:32772, 4, 4, 1, 
colab-sbx-142.oit.duke.edu, 4, 4, 3, 
pegasus-bioinfo.angers-nantes.inra.fr, 941, 941, 54, 
bowhead-whale.org, 67, 67, 18, 
pipelines.crrd.mcw.edu, 128, 128, 4, 
zaglossus.biotech.cdc.gov, 64, 64, 2, 
192.168.1.27, 13, 13, 2, 
172.16.1.16:9988, 2, 2, 1, 
localhost:8787, 2, 2, 1, 
141.106.224.241, 6, 6, 4, 
192.168.1.119, 102, 102, 3, 
28.11.141.13, 170, 170, 3, 
207.162.243.6, 175, 175, 20, 
assest.maze.co.jp, 17, 17, 3, 
10.51.226.126:8443, 46, 46, 1, 
192.168.1.160:8080, 2, 2, 1, 
192.168.123.64, 4, 4, 1, 
192.168.138.64, 445, 445, 2, 
gmod2.sb-roscoff.fr, 498, 498, 1, 
115.156.239.3, 1, 1, 1, 
www.burkholderia.com, 239, 239, 124, 
nb7-cosmic.sandbox.sanger.ac.uk, 15, 15, 7, 
www.consorciopesquisacafe.com.br, 2, 2, 1, 
192.168.100.3, 6, 6, 1, 
199.241.162.79, 7, 7, 5, 
spis.reefgenomics.org, 7, 7, 2, 
assembly.ab.wurnet.nl:8080, 3, 3, 1, 
www.bcid.ca, 1, 1, 1, 
10.75.106.4, 2, 2, 1, 
zed.tacc.utexas.edu, 246, 246, 22, 
biopvm201.pfr.co.nz:9080, 1490, 1490, 1, 
10.112.31.15, 125, 125, 11, 
115.145.138.239:8085, 2937, 2937, 33, 
shbjyl.gnway.org:7070, 1, 1, 1, 
192.168.99.100, 118, 118, 6, 
moffittdevp.pdx.aws, 18, 18, 1, 
cancertest.dev.sanger.ac.uk, 2, 2, 2, 
www.bio-bigdata.net, 117, 117, 89, 
nutcase.mbb.ki.se, 24, 24, 13, 
www.patric.local:3000, 82, 82, 7, 
mars.capitolium.net:9988, 2, 2, 1, 
129.130.90.211, 240, 240, 8, 
210.72.156.24, 103, 103, 11, 
192.168.1.168:8080, 522, 522, 8, 
10.0.0.17, 2, 2, 1, 
aestivum:8080, 40, 40, 1, 
192.168.30.31, 18, 18, 2, 
192.168.10.222, 1940, 1940, 3, 
www.thines-lab.senckenberg.de, 99, 99, 19, 
133.26.84.84, 569, 569, 5, 
aestivum.accwi.org.au:8080, 2836, 2836, 239, 
104.236.15.5, 10, 10, 4, 
172.16.0.173:8081, 10, 10, 1, 
ec2-54-215-218-19.us-west-1.compute.amazonaws.com:8080, 1, 1, 1, 
147.49.40.45, 1, 1, 1, 
172.16.0.173:8080, 100, 100, 14, 
osler.rgd.mcw.edu, 25, 25, 2, 
crrd.mcw.edu, 550, 550, 215, 
efishgenomics.integrativebiology.msu.edu, 575, 575, 30, 
www.tongjidmb.com, 417, 417, 74, 
192.168.1.3, 1, 1, 1, 
localhost:32, 2, 2, 1, 
bf2i126.insa-lyon.fr:1988, 5, 5, 2, 
ec2-54-183-156-139.us-west-1.compute.amazonaws.com:8080, 3, 3, 1, 
stiberhad.asuscomm.com, 725, 725, 94, 
10.11.52.132, 18, 18, 12, 
charon.stjude.org, 7, 7, 1, 
floridahospitalopsqa.pdx.aws, 44, 44, 2, 
172.16.2.123:8080, 4, 4, 1, 
rpcazy.afmb.univ-mrs.fr, 36, 36, 2, 
141.219.190.29, 81, 81, 15, 
123.56.207.36, 6, 6, 2, 
wrightsman.io, 3, 3, 3, 
172.16.2.217:8080, 22, 22, 2, 
twsaari.com, 62, 62, 11, 
www.peanutbase.com, 2, 2, 1, 
demo3.genaris.com, 36, 36, 7, 
bioinformatics.caf.ac.cn, 484, 484, 15, 
localhost.patricbrc.org, 1, 1, 1, 
52.8.52.29, 1, 1, 1, 
horan.hmgc.mcw.edu, 1, 1, 1, 
rice.abudhabi.nyu.edu, 22, 22, 14, 
10.200.55.26, 2, 2, 2, 
10.0.0.9:8085, 1, 1, 1, 
knowpulse.usask.ca:8080, 5, 5, 1, 
52.38.69.224, 6, 6, 1, 
10.0.0.9:8080, 4, 4, 1, 
koeho006, 18, 18, 1, 
stage.cassava-genome.southgreen.fr, 1, 1, 1, 
bf2i126.insa-lyon.fr:1980, 193, 193, 5, 
10.2.42.26, 31, 31, 5, 
140.113.111.81, 21, 21, 4, 
ngspipelines-sigenae.toulouse.inra.fr:9064, 2, 2, 2, 
ngspipelines-sigenae.toulouse.inra.fr:9065, 15, 15, 8, 
146.148.66.109, 36, 36, 3, 
servbio.hpc.ncsu.edu, 2, 2, 1, 
gbcs, 1, 1, 1, 
134.192.156.78:8080, 101, 101, 8, 
35.10.204.201, 20, 20, 4, 
opendata.ifr.ac.uk, 12, 12, 9, 
archeranalysis-dev, 6, 6, 1, 
www.twsaari.com, 1, 1, 1, 
gasser-research.vet.unimelb.edu.au, 24, 24, 9, 
caesar.dna.affrc.go.jp, 116, 116, 2, 
www.biw.kuleuven.be, 489, 489, 27, 
128.32.19.94, 1, 1, 1, 
129.206.53.229, 79, 79, 3, 
analysis.qa.enz.local, 69, 69, 5, 
dev.crrd.mcw.edu, 67, 67, 3, 
genomics.digitalhealthlabs.com, 12, 12, 1, 
breve.nhgri.nih.gov, 109, 109, 8, 
10.35.229.179, 321, 321, 4, 
172.21.5.48, 1, 1, 1, 
127.0.0.1:8888, 49, 49, 2, 
cmb.bnu.edu.cn:8088, 363, 363, 16, 
thines-lab.senckenberg.de, 471, 471, 21, 
52.26.230.25:8443, 85, 85, 5, 
172.17.21.155, 33, 33, 1, 
10.4.4.76, 2, 2, 1, 
serverarch01, 10, 10, 2, 
knowpulse.usask.ca:8082, 136, 136, 10, 
52.38.161.181, 15, 15, 1, 
sgn-test.sgn.cornell.edu, 209, 209, 13, 
192.168.56.187, 5, 5, 1, 
aeonopsqa.pdx.aws, 3, 3, 1, 
dpuk2.arcca.cf.ac.uk, 26, 26, 3, 
188.166.173.208, 62, 62, 7, 
irhs-001, 650, 650, 3, 
citrusgreening-test.sgn.cornell.edu, 17, 17, 1, 
www.ab.wur.nl, 136, 136, 26, 
bugs.sgul.ac.uk, 60, 60, 27, 
gbrowse2015.biology.gatech.edu, 33, 33, 22, 
simrbase, 49, 49, 2, 
arusha.nhgri.nih.gov, 207, 207, 29, 
cysteine.dbi.udel.edu, 1, 1, 1, 
52.24.167.171, 1, 1, 1, 
assembly.ab.wurnet.nl:8081, 37, 37, 2, 
www.tripadvisor.com, 1, 1, 1, 
sop1rna.inra.fr, 17, 17, 10, 
assembly.ab.wurnet.nl:8082, 58, 58, 2, 
www.bovinegenome.org, 81, 81, 52, 
ec2-54-86-162-244.compute-1.amazonaws.com, 4, 4, 2, 
127.0.0.1:5000, 160, 160, 27, 
192.168.50.137, 1, 1, 1, 
203.101.224.234, 5, 5, 3, 
ec2-54-219-87-212.us-west-1.compute.amazonaws.com, 11, 11, 3, 
bio.jsm.co.jp, 86, 86, 3, 
172.28.1.172:1337, 31, 31, 1, 
v0311.nbi.ac.uk:8080, 4, 4, 2, 
sjlsd0004, 9, 9, 1, 
arupopsqa.pdx.aws, 15, 15, 2, 
assembly.ab.wurnet.nl:8084, 1, 1, 1, 
medicago-dev.jcvi.org, 10, 10, 1, 
52.37.5.70:8081, 2, 2, 2, 
jbrowse-aws.yeastgenome.org, 10, 10, 3, 
172.28.1.201:1337, 9, 9, 1, 
10.10.41.223, 57, 57, 1, 
10.3.1.222, 7, 7, 2, 
172.16.1.37, 13, 13, 4, 
assembly.ab.wurnet.nl:8006, 24, 24, 2, 
lmbv012.cnptia.embrapa.br, 63, 63, 1, 
10.74.186.113, 1, 1, 1, 
10.7.0.213, 20, 20, 1, 
gbcs-dev.embl.de, 2459, 2459, 1, 
bioinfosecond.vet.unimelb.edu.au, 12, 12, 5, 
dev.wormbase.org:9003, 102, 102, 8, 
192.168.56.180, 1, 1, 1, 
ngspipelines.toulouse.inra.fr:9007, 8, 8, 4, 
10.20.101.253, 3, 3, 1, 
jc_analysis, 5, 5, 1, 
10.248.24.78, 1, 1, 1, 
morus.swu.edu.cn, 6, 6, 5, 
0.0.0.0:6002, 10, 10, 1, 
61.128.110.6:8080, 1, 1, 1, 
gbcs-dev, 1106, 1106, 15, 
evolve.bio.titech.ac.jp, 14, 14, 7, 
dev1.platomics.com, 74, 74, 5, 
vm64-220.iplantcollaborative.org, 8, 8, 2, 
marmorkrebs.dkfz.de, 772, 772, 94, 
fornax.mskcc.org, 11, 11, 3, 
192.168.1.81, 1, 1, 1, 
jbrowse.wi.mit.edu, 7, 7, 2, 
140.110.17.14, 526, 526, 42, 
210.75.224.168:8080, 726, 726, 12, 
192.168.1.26, 28, 28, 2, 
archer407.chop.edu, 198, 198, 3, 
n4-189-16.icb.ufmg.br:8888, 77, 77, 15, 
fahcopsqa.pdx.aws, 10, 10, 4, 
10.10.102.218, 1, 1, 1, 
tu06.fralin.vt.edu:8080, 13, 13, 1, 
nc.ansci.iastate.edu, 3, 3, 1, 
scripts-dev.jcvi.org, 106, 106, 3, 
s9.sars.no, 77, 77, 7, 
192.168.50.140, 3, 3, 1, 
xingene.net, 20, 20, 2, 
10.10.119.240, 22, 22, 1, 
192.168.0.100, 153, 153, 4, 
scicomp-pc-1-1:8088, 116, 116, 1, 
ec2-54-144-192-200.compute-1.amazonaws.com, 6, 6, 1, 
mib.amu.edu.pl., 3, 3, 2, 
192.168.5.203, 18, 18, 2, 
52.38.143.20, 14, 14, 2, 
133.48.62.150:8000, 2, 2, 1, 
raid2016.nibb.ac.jp:8000, 51, 51, 6, 
glassqa.phibred.com:8081, 122, 122, 7, 
glass.phibred.com:8081, 4169, 4169, 15, 
mmb.pcb.ub.es, 114, 114, 19, 
www.yeastgenome.com, 13, 13, 13, 
192.168.1.116, 38, 38, 3, 
210.119.131.119, 1, 1, 1, 
137.189.43.36, 6, 6, 3, 
